mean_test_score,std_test_score,mean_train_score,mean_fit_time,activation,alpha,hidden_layer_sizes,learning_rate,solver
0.949,0.079,0.953,1.1919,logistic,1,"(5, 100)",invscaling,adam
0.949,0.066,0.999,0.9555,tanh,1,"(10, 100)",invscaling,lbfgs
0.949,0.065,0.993,0.3951,relu,1,"(10, 50)",adaptive,lbfgs
0.949,0.061,0.964,1.4664,relu,0.1,"(10, 100)",constant,sgd
0.949,0.057,0.949,1.2485,tanh,10,"(5, 100)",constant,adam
0.949,0.055,0.99,0.5471,tanh,0.1,"(5, 50)",adaptive,lbfgs
0.949,0.043,0.999,0.8892,logistic,0.1,"(10, 100)",invscaling,lbfgs
0.947,0.091,0.953,1.2034,logistic,1,"(5, 100)",constant,adam
0.947,0.086,0.953,1.2088,logistic,1,"(5, 100)",adaptive,adam
0.947,0.071,0.953,1.1436,tanh,10,"(5, 100)",constant,sgd
0.947,0.067,0.956,0.9623,tanh,10,"(10, 50)",constant,sgd
0.947,0.063,0.995,0.4348,relu,0.1,"(10, 50)",invscaling,lbfgs
0.947,0.06,0.961,1.3102,tanh,0.1,"(5, 100)",adaptive,adam
0.947,0.06,0.957,0.9364,tanh,10,"(5, 50)",invscaling,adam
0.947,0.06,0.996,0.531,relu,1,"(10, 50)",invscaling,lbfgs
0.947,0.049,0.994,0.6281,tanh,0.1,"(10, 50)",constant,lbfgs
0.947,0.049,0.994,0.8314,tanh,1,"(5, 100)",adaptive,lbfgs
0.947,0.045,0.988,0.6442,tanh,0.1,"(5, 50)",constant,lbfgs
0.947,0.045,0.997,1.0007,tanh,0.1,"(10, 100)",invscaling,lbfgs
0.946,0.065,0.984,0.6871,relu,0.1,"(10, 100)",constant,lbfgs
0.946,0.061,0.945,1.2986,tanh,1,"(10, 100)",constant,sgd
0.946,0.057,0.956,1.2009,tanh,10,"(5, 100)",invscaling,adam
0.946,0.055,0.998,0.5384,logistic,0.1,"(10, 50)",invscaling,lbfgs
0.944,0.085,0.953,0.9284,tanh,10,"(5, 50)",constant,adam
