mean_test_score,std_test_score,mean_train_score,mean_fit_time,kernel,gamma,C,degree
0.966,0.021,0.974,2.2838,1000,4,0.1,linear
0.96,0.044,1.0,0.0078,1000,4,0.1,rbf
0.943,0.025,1.0,0.0177,1000,4,0.1,poly
0.966,0.021,0.974,2.1278,1000,4,1,linear
0.884,0.039,1.0,0.0134,1000,4,1,rbf
0.943,0.025,1.0,0.016,1000,4,1,poly
0.966,0.021,0.974,2.1969,1000,4,10,linear
0.69,0.047,1.0,0.0117,1000,4,10,rbf
0.943,0.025,1.0,0.015,1000,4,10,poly
0.966,0.021,0.974,2.1355,1000,4,100,linear
0.69,0.047,1.0,0.0116,1000,4,100,rbf
0.943,0.025,1.0,0.0145,1000,4,100,poly
0.966,0.021,0.974,2.1231,1000,5,0.1,linear
0.96,0.044,1.0,0.007,1000,5,0.1,rbf
0.94,0.022,1.0,0.0117,1000,5,0.1,poly
0.966,0.021,0.974,2.1879,1000,5,1,linear
0.884,0.039,1.0,0.0132,1000,5,1,rbf
0.94,0.022,1.0,0.0145,1000,5,1,poly
0.966,0.021,0.974,2.1352,1000,5,10,linear
0.69,0.047,1.0,0.0121,1000,5,10,rbf
0.94,0.022,1.0,0.0143,1000,5,10,poly
0.966,0.021,0.974,2.3055,1000,5,100,linear
0.69,0.047,1.0,0.0125,1000,5,100,rbf
0.94,0.022,1.0,0.0114,1000,5,100,poly
0.966,0.021,0.974,2.255,1000,6,0.1,linear
0.96,0.044,1.0,0.009,1000,6,0.1,rbf
0.94,0.034,1.0,0.0164,1000,6,0.1,poly
0.966,0.021,0.974,2.2854,1000,6,1,linear
0.884,0.039,1.0,0.0135,1000,6,1,rbf
0.94,0.034,1.0,0.014,1000,6,1,poly
0.966,0.021,0.974,2.1913,1000,6,10,linear
0.69,0.047,1.0,0.012,1000,6,10,rbf
0.94,0.034,1.0,0.0161,1000,6,10,poly
0.966,0.021,0.974,2.1027,1000,6,100,linear
0.69,0.047,1.0,0.0116,1000,6,100,rbf
0.94,0.034,1.0,0.014,1000,6,100,poly
